Gruppo_Muscolare,Esercizio,Attrezzatura,Difficoltà
Petto,Panca_Piana_Bilanciere,Bilanciere,Intermedio
Petto,Panca_Inclinata_Bilanciere,Bilanciere,Intermedio
Petto,Panca_Declinata_Bilanciere,Bilanciere,Avanzato
Petto,Spinte_su_Panca_Piana_Manubri,Manubri,Intermedio
Petto,Spinte_su_Panca_Inclinata_Manubri,Manubri,Intermedio
Petto,Croci_su_Panca_Piana_Manubri,Manubri,Principiante
Petto,Croci_su_Panca_Inclinata_Manubri,Manubri,Principiante
Petto,Croci_ai_Cavi_Alti,Cavi,Principiante
Petto,Croci_ai_Cavi_Bassi,Cavi,Intermedio
Petto,Chest_Press_Machine,Macchina,Principiante
Petto,Pectoral_Fly_Machine,Macchina,Principiante
Petto,Dip_alle_Parallele_(Focus_Petto),Corpo_Libero_/_Zavorra,Avanzato
Petto,Piegamenti_sulle_Braccia_(Push-up),Corpo_Libero,Principiante
Petto,Pull-over_con_Manubrio,Manubrio,Intermedio
Schiena,Trazioni_alla_Sbarra_(Pull-up),Corpo_Libero_/_Zavorra,Avanzato
Schiena,Trazioni_Presa_Invertita_(Chin-up),Corpo_Libero_/_Zavorra,Intermedio
Schiena,Lat_Machine_Avanti_Presa_Larga,Macchina_/_Cavi,Principiante
Schiena,Lat_Machine_Presa_Inversa,Macchina_/_Cavi,Principiante
Schiena,Lat_Machine_Presa_Neutra_(Pulley),Macchina_/_Cavi,Principiante
Schiena,Rematore_con_Bilanciere,Bilanciere,Intermedio
Schiena,Rematore_con_Manubrio,Manubri,Principiante
Schiena,Pulley_Basso,Macchina_/_Cavi,Principiante
Schiena,Rematore_alla_T-Bar,Bilanciere_/_Macchina,Intermedio
Schiena,Pull-down_alla_Lat_Machine_a_Braccia_Tese,Cavi,Principiante
Schiena,Vertical_Row_Machine,Macchina,Principiante
Schiena,Iperestensioni_(Hyperextension),Corpo_Libero_/_Panca,Principiante
Schiena,Scrollate_con_Bilanciere_(Trapezi),Bilanciere,Principiante
Schiena,Scrollate_con_Manubri_(Trapezi),Manubri,Principiante
Gambe,Squat_con_Bilanciere,Bilanciere,Intermedio
Gambe,Front_Squat,Bilanciere,Avanzato
Gambe,Leg_Press_45°,Macchina,Principiante
Gambe,Hack_Squat,Macchina,Intermedio
Gambe,Affondi_Camminati_con_Manubri,Manubri,Intermedio
Gambe,Squat_Bulgaro_con_Manubri,Manubri_/_Panca,Intermedio
Gambe,Leg_Extension,Macchina,Principiante
Gambe,Goblet_Squat,Manubrio_/_Kettlebell,Principiante
Gambe,Hip_Thrust_con_Bilanciere,Bilanciere_/_Panca,Intermedio
Gambe,Glute_Bridges,Corpo_Libero_/_Bilanciere,Principiante
Gambe,Abductor_Machine,Macchina,Principiante
Gambe,Adductor_Machine,Macchina,Principiante
Gambe,Slanci_Posteriori_al_Cavo_Basso,Cavi,Principiante
Gambe,Stacco_da_Terra_Rumeno_(RDL),Bilanciere,Intermedio
